int_id,get_nearby_distance,z,fiberID,plate,mjd,bestobjid,specobjid
193,0.000307721363521279,0.09967799,524,2883,54525,1237668603681636416,3246113543367452672
194,0.00270591668233342,0.2244014,155,552,51992,1237654381977272374,621539388072945664
194,0.000377818716556442,0.2246903,300,7295,57067,1237654381977272374,8213522402354941952
195,0.000897378187650592,0.08193932,104,858,52316,1237657879150788730,966050746229352448
196,0.00128261085422338,0.2355721,417,1232,52731,1237658493893279772,1387223355135911936
197,0.000785670934507163,0.4965286,309,1054,52516,1237659118794440735,1186783481296873472
198,0.000251319596398034,0.05126621,443,1309,52762,1237661354314956869,1473924795308468224
199,0.00037458204336562,0.02425128,129,1446,53080,1237661355931795520,1628086776218281984
200,0.0022767402844567,0.1145197,202,1444,53054,1237661356467683397,1625855042055596032
201,0.000240472467961854,0.03150504,599,1447,53120,1237661967428419615,1629341869412476928
202,0.000672067298518143,0.1918546,566,1726,53137,1237662637985300487,1943458872735852544
203,0.00222398257107329,0.265141,295,2745,54231,1237662638510571558,3090676404249978880
204,0.000251579001807931,0.206697,149,2529,54585,1237662638524727575,2847441898136692736
205,0.00137170739244341,0.08178837,292,2025,53431,1237665129071771733,2280027633267795968
206,0.000424757738417787,0.07721192,466,2773,54533,1237667735057989732,3122248610830379008
207,0.000713069476943894,0.0563294,134,902,52409,1237657770171957290,1015598590027917312
208,0.00144333235092632,0.204809,379,1058,52520,1237659153681219695,1191306322444838912
209,0.00202750853711322,0.06949385,444,1056,52764,1237659154216255572,1189072393788745728
210,0.000350261929038906,0.03787673,111,1731,53884,1237662198827843743,1948963315354986496
211,0.000475203988883651,0.2290608,251,1732,53501,1237662199364583771,1950127691743127552
212,0.00238905173200051,0.2009477,419,1738,53051,1237671260125724849,1956929263122802688
213,1.98742974254366E-05,0.2169792,244,8762,57693,1237680097551974459,9865202183032819712
214,0.00229880513995852,0.09478367,527,278,51900,1237648722835865677,313145066635945984
215,0.000612315935925115,0.03724452,469,450,51908,1237651252024836118,506783907828492288
216,0.000687423206565738,0.2273587,248,850,52338,1237655123940999236,957083129762310144
217,0.00100949631401766,0.1080859,59,837,52642,1237655124467646510,942394484149217280
218,0.00107362672618412,0.1642211,10,856,52339,1237655125020573787,963773108278290432
219,0.0010928058790327,0.1027759,74,1012,52649,1237658801497374731,1139431091132721152
220,0.000669441744906344,0.4657001,114,1667,53430,1237662301356884038,1876906538333923328
220,0.00017488252424883,0.466573,734,8210,57426,1237662301356884038,9243840120150577152
221,0.000855385724086076,0.07260436,946,6751,56368,1237662301361471517,7601210412433166336
222,0.000624596217198786,0.3342988,639,1997,53442,1237664820359462950,2248597818694461440
223,0.000918210203351278,0.379181,640,2216,53795,1237667323251916811,2495170179093260288
224,0.00107144586818796,0.4868797,391,487,51943,1237651274040999952,548420764492130304
225,0.00230162663442438,0.3420524,614,442,51882,1237651495224410119,497816565434050560
225,0.00148503532271608,0.3424423,446,7302,57012,1237651495224410119,8221443832954507264
226,0.00285015583180252,0.04199469,58,655,52162,1237652946382749732,737480418172889088
227,0.000328453809243297,0.3569269,548,658,52146,1237652947995394051,740992807799384064
228,0.000721868331027442,0.325743,383,739,52264,1237656242236948506,832145347378702336
228,0.000721868331027442,0.3257094,388,739,52520,1237656242236948506,832146726063204352
229,0.000420455374396296,0.05348795,551,1426,52993,1237661383311818774,1605684775098542080
230,0.00055881446684525,0.0004606231,241,2538,54271,1237663228538519645,2857600280797669376
231,0.000457679776661348,0.4522137,503,2599,54234,1237668624624975912,2926352192505931776
231,0.00045767977632387,0.4527477,732,5854,56035,1237668624624975912,6591219366536433664
232,0.00119235268619374,0.1182318,443,2603,54479,1237668625701535848,2930839303569303552
233,0.00042839671944327,0.1774282,537,270,51909,1237648722292506678,304140616311269376
234,0.000284172371435775,0.1055859,74,508,52366,1237651753467510819,571977533336086528
235,0.000737878139734607,0.210923,315,511,52636,1237651753468625012,575421483162036224
236,0.00170487244617466,0.03417736,528,856,52339,1237655126094119082,963915495034087424
237,0.00192043599771352,0.07267616,60,964,52646,1237658611980238874,1085384047263246336
238,6.54854478400346E-05,0.2823286,477,1585,52962,1237661086956388518,1784682518801311744
238,6.54854467396374E-05,0.282236,908,11118,58522,1237661086956388518,12518004896392564736
239,0.000971317146309335,0.4405904,77,1214,52731,1237661852529000477,1366863698324383744
239,0.000244646943346677,0.4416304,984,8862,57461,1237661852529000477,9977995579475906560
240,0.000730478553967839,0.322985,578,1391,52817,1237662307273212005,1566285697109747712
241,0.00106577274356062,0.08168268,447,1381,53089,1237662307800580110,1554990693598914560
242,0.00217362107934753,0.3340511,247,401,51788,1237663783134625892,451553787484596224
242,0.00217362107934753,0.3338968,57,698,52203,1237663783134625892,785893839977080832
242,1.4207158685774E-05,0.3344068,742,7845,56980,1237663783134625892,8832888845693636608
242,1.41087751035341E-05,0.3344446,998,9379,58081,1237663783134625892,10560089690006114304
243,0.00120121094284483,0.02609349,132,1073,52649,1237663783138361393,1208126928368723968
244,0.000366071731879086,0.09829526,438,2437,53848,1237667485918625874,2743938534057469952
244,0.000560947200101646,0.09820116,685,9550,57787,1237667485918625874,10752532532358828032
245,1.35939427824725E-05,0.391866,64,7824,57282,1237678437553143914,8809058585495752704
245,1.43848511520926E-05,0.3918985,24,9420,57715,1237678437553143914,10605983848964837376
246,0.000320408523532291,0.2589196,146,7258,56605,1237646791699663123,8171821766853021696
247,0.00206346591181191,0.01336469,361,461,51910,1237649964066930743,519139120023365632
248,0.000915962077479767,0.0467449,89,494,51915,1237651271364247574,556219050242369536
249,0.000674521133162365,0.4174148,513,640,52178,1237652600102191125,720716989286344704
249,0.000674521133162365,0.4175721,513,640,52200,1237652600102191125,720716989655443456
250,0.00184369595744175,0.4236842,282,656,52148,1237652629103116341,738667890496006144
251,0.000296485389254334,0.2944251,282,622,52054,1237655349966077998,700387292086298624
251,6.35203576712729E-05,0.2946006,604,8060,57894,1237655349966077998,9074919407848017920
252,0.00126561710305724,0.4675706,4,1675,53466,1237662499462774858,1885883501622880256
252,0.00017268395822436,0.4684283,290,8489,57483,1237662499462774858,9557844149325287424
253,3.87871972577014E-05,0.1863378,618,2006,53476,1237665024909312062,2258725145990424576
254,0.000742715691752582,0.07446658,315,2023,53851,1237665025446838328,2277782162692401152
255,0.00168749660671162,0.4894076,48,2046,53327,1237666273669873724,2303604459357366272
256,0.00118375896648904,0.3971013,555,2481,54068,1237667551418253375,2793510294364645376
256,0.00118375896648904,0.3970262,532,2481,54086,1237667551418253375,2793503972474775552
256,0.000423341479229797,0.3984866,30,6417,56308,1237667551418253375,7224908054378336256
256,0.000158687677850481,0.3981908,633,10467,58138,1237667551418253375,11784968459171155968
257,0.00071416542632682,0.03288136,165,530,52026,1237674601603072055,596772339471902720
258,0.00132955748460668,0.3996014,512,400,51820,1237657071157444676,450500730759964672
258,0.00132955748460668,0.3998835,395,698,52203,1237657071157444676,785986748709627904
258,1.39295596779588E-05,0.4010983,738,7847,57012,1237657071157444676,8835139546532564992
258,1.39295596779588E-05,0.4010474,530,9399,58125,1237657071157444676,10582479046020714496
259,0.0027629014601907,0.1634896,550,403,51871,1237657071160262668,453888876696594432
259,1.32448249760598E-05,0.162808,1,9390,58103,1237657071160262668,10572200536077258752
260,0.00153598854872932,0.02783847,129,951,52398,1237658302207426574,1070766310889121792
261,0.000988047524948253,0.1542298,11,1444,53054,1237660634390986757,1625802540375369728
261,0.000360117220697052,0.1540704,518,7404,56776,1237660634390986757,8336305410702331904
