int_id,ra,dec,z,psfMag_g,fiberID,plate,mjd,bestobjid
150,21.9490106969614,26.6110223480098,0.4175824000000001,16.9953,161,7683,58133,1237680075005952144
151,153.507785327888,46.3315894449862,0.3219058,16.68918,578,7385,56710,1237658205575970929
152,65.2930940858561,27.9467613484507,0.001250121,16.950960000000002,60,1251,52964,1237660554376183949
153,64.7285626255004,28.1353657516673,0.0004606231,16.8638,194,1251,52964,1237660554913185806
154,231.60010996851102,27.9144847261708,0.2308216,16.66256,390,1848,54180,1237662697571025035
155,182.684482458995,38.336189295835204,0.02289685,16.11059,120,2108,53473,1237664339328827423
156,216.89835109484403,26.5373763060043,0.3636065,16.5915,340,2135,53827,1237665429172125706
157,230.30940632429198,22.4621804711326,0.13608699999999999,16.29501,114,2158,54209,1237665429177696323
158,141.827111746962,23.0201029066039,0.02641824,16.87856,278,2293,53730,1237667211586109448
159,241.91378513170798,10.5987942011028,0.4583784000000001,16.91273,404,2526,54582,1237668271378661560
160,241.04572515520098,11.449895019047199,0.43627209999999994,16.98166,278,2525,54569,1237668271915073651
161,11.2463797817711,19.3614500469758,0.178817,16.89184,630,7618,56898,1237679459748610052
162,144.254368451507,1.09548098090632,0.05026412,16.61865,523,476,52314,1237651752920940614
163,193.83206453985198,1.73673376771481,0.34287280000000003,16.00927,215,523,52026,1237651752942632987
164,129.24543115630698,44.433966255747606,0.2543997,15.631720000000001,498,762,52232,1237655108362109100
165,146.98330765685802,53.83342185891829,0.48286720000000005,16.81651,444,8188,57348,1237655108368662532
166,180.046968300207,10.026555681684801,0.08525841,16.84693,29,1227,52733,1237658492816261137
167,208.399673542861,26.5298803942465,0.3079511,16.82974,84,6006,56105,1237665550497546278
168,227.307492452552,17.9527832175244,0.1705441,16.84569,89,2792,54556,1237665565001973817
169,169.476332762592,26.5712851060043,0.4207183,16.80266,262,2216,53795,1237667430105677962
170,181.19965487794101,17.0491237489166,0.2979022,16.99519,150,2595,54207,1237668495247212561
171,343.280704021676,19.7096142071324,0.2840043,16.94032,283,7609,56959,1237679504848912411
172,133.246755700366,3.22239685093975,0.2967729,16.21801,383,565,52225,1237654601556033738
173,151.083893360551,5.21679885340949,0.1601164,16.4356,4,995,52731,1237658422476144713
174,146.37237042333598,9.60289180460873,0.01317231,16.93962,179,1305,52757,1237660669814177814
175,160.86029961279,11.090071872713402,0.04752789,16.7986,310,1601,53115,1237660669820403794
176,146.888397537633,10.085758941999401,0.1389904,16.90138,548,1305,52757,1237660670351245396
177,150.14116780793898,10.7899338837009,0.2262018,16.61263,494,1307,52999,1237660670889558085
178,165.257401251623,11.0469264193095,0.03562488,16.98309,218,1603,53119,1237661811729498144
179,176.084624772487,11.5835590152543,0.2702015,16.97898,248,3245,54894,1237661811734151232
180,186.44468605237702,12.6618687472754,0.008624043,16.44751,388,1615,53166,1237661812812349452
181,192.38216576565603,52.5108667683683,0.16176949999999998,16.58836,561,8222,57431,1237662302428463129
182,226.007371084412,44.986384936079205,0.4925389,16.75674,930,8490,57104,1237662302438621215
183,244.818929569632,33.710671568215105,0.47048019999999996,16.885189999999998,242,10727,58197,1237662302446616670
184,117.277116543823,45.176080260507405,0.1921771,16.890179999999997,795,8276,57067,1237663546898317389
185,120.324544197067,48.4548856071509,0.4268849,16.93505,556,7324,56935,1237663546900021305
186,3.19972232373723,-8.78350621777161,0.22035860000000002,16.83776,665,7169,56628,1237672842284105777
187,125.784525021134,42.255840553098295,0.05601526,16.86009,396,761,54524,1237673309358719012
188,119.58202695467199,42.326432657101606,0.2112217,16.61562,871,8291,57391,1237673310430494741
189,220.158741056948,53.5044200637115,0.03688876,15.70771,292,1163,52669,1237661388680200322
190,247.85178244254902,29.8837699811369,0.2541572,16.920479999999998,260,1685,53463,1237662301374840978
191,134.137462257164,59.9630264581715,0.2834395,16.88484,585,8197,57064,1237663547442987076
192,123.733753648505,53.425983027559006,0.11966800000000001,16.746679999999998,444,1781,53297,1237663547976122397
193,232.28106462691397,56.2685233913348,0.09967799,16.55593,524,2883,54525,1237668603681636416
194,136.229148544618,51.2457211079303,0.22469029999999998,16.8848,300,7295,57067,1237654381977272374
195,118.190000861499,26.293259065172897,0.08193932,16.8992,104,858,52316,1237657879150788730
196,187.725487497975,11.0031160110938,0.2355721,16.65485,417,1232,52731,1237658493893279772
197,237.70123891068698,40.0291407222094,0.4965286,16.973370000000003,309,1054,52516,1237659118794440735
198,172.170824919769,57.8351420136773,0.05126621,16.8757,443,1309,52762,1237661354314956869
199,178.424075536906,46.211729064600604,0.02425128,16.54811,129,1446,53080,1237661355931795520
200,175.19956437577702,46.368008130609,0.11451969999999999,15.936979999999998,202,1444,53054,1237661356467683397
201,179.719153175296,42.5703404939045,0.03150504,16.80872,599,1447,53120,1237661967428419615
202,238.368726425501,9.85058350934634,0.19185460000000001,16.643279999999997,566,1726,53137,1237662637985300487
203,211.744639971682,14.7106343744678,0.26514099999999996,16.37388,295,2745,54231,1237662638510571558
204,244.348637626386,8.90410631950591,0.206697,16.88356,149,2529,54585,1237662638524727575
205,160.18301472562402,33.0164409355735,0.08178837,16.72587,292,2025,53431,1237665129071771733
206,214.9586410367,19.7376371741472,0.07721192,16.654529999999998,466,2773,54533,1237667735057989732
207,147.17780447376,50.49206751204329,0.0563294,16.61317,134,902,52409,1237657770171957290
208,246.530184193934,33.987590480665695,0.20480900000000002,16.34169,379,1058,52520,1237659153681219695
209,243.256772761121,37.28748871710629,0.06949385,16.41038,444,1056,52764,1237659154216255572
210,244.440150947305,6.06487141316813,0.03787673,16.7914,111,1731,53884,1237662198827843743
211,244.29759270176498,6.6426390508563395,0.22906079999999998,16.97769,251,1732,53501,1237662199364583771
212,135.463067629476,10.505713573435699,0.2009477,16.19361,419,1738,53051,1237671260125724849
213,21.700379502068802,3.4518654607347297,0.21697919999999998,16.739060000000002,244,8762,57693,1237680097551974459
214,167.550317899718,1.22440806617476,0.09478367,16.786820000000002,527,278,51900,1237648722835865677
215,136.153972638507,55.60076372187451,0.03724452,16.84809,469,450,51908,1237651252024836118
216,197.078754557291,3.74367492731622,0.2273587,16.95362,248,850,52338,1237655123940999236
217,173.593675426399,4.1910129271382095,0.1080859,16.429270000000002,59,837,52642,1237655124467646510
218,210.40263711949402,4.27423788206763,0.1642211,16.91477,10,856,52339,1237655125020573787
219,170.28576017900298,53.8558441715849,0.1027759,16.44148,74,1012,52649,1237658801497374731
220,200.202798658819,51.0538033254952,0.46657299999999996,16.95929,734,8210,57426,1237662301356884038
221,215.37395839575,47.7901477923516,0.07260436,15.06143,946,6751,56368,1237662301361471517
222,177.82398345535302,38.372663243924706,0.3342988,15.817620000000002,639,1997,53442,1237664820359462950
223,171.901587857322,26.9140296500608,0.379181,16.95666,640,2216,53795,1237667323251916811
224,146.814819066714,63.287906924058895,0.4868797,16.41837,391,487,51943,1237651274040999952
225,127.49496028568599,51.5123759655781,0.3424423,16.5243,446,7302,57012,1237651495224410119
