int_id,dist_arcsec,ra,dec,g,z,fiberID,plate,mjd,bestobjid,specobjid
181,0.00526074487689179,192.3822,52.51087,16.58836,0.1617695,561,8222,57431,1237662302428463129,9257303365238673408
182,0.122005866917,226.0074,44.98639,16.75674,0.4921223,55,1676,53147,1237662302438621215,1887023414951045120
182,0.00124371447236472,226.0074,44.98639,16.75674,0.4925389,930,8490,57104,1237662302438621215,9559145964734009344
183,0.0488801429777313,244.8189,33.71067,16.88519,0.4704914,16,1683,53436,1237662302446616670,1894893998909188096
183,0.0189346520804246,244.8189,33.71067,16.88519,0.4704802,242,10727,58197,1237662302446616670,12077594958678478848
184,0.0562610770782165,117.2771,45.17608,16.89018,0.1921579,620,1736,53052,1237663546898317389,1954732713785190400
184,0.0137252195161533,117.2771,45.17608,16.89018,0.1921771,795,8276,57067,1237663546898317389,9318166275531493376
184,0.0137252195161533,117.2771,45.17608,16.89018,0.1923193,411,8305,57749,1237663546898317389,9350711831155724288
185,0.0163292244417646,120.3245,48.45489,16.93505,0.4267182,106,1779,53089,1237663546900021305,2003005123156011008
185,0.0170210434366765,120.3245,48.45489,16.93505,0.4268849,556,7324,56935,1237663546900021305,8246243866182963200
186,0.146115456100244,3.199722,-8.783506,16.83776,0.2201505,326,652,52138,1237672842284105777,734176385328769024
186,0.0504185480297511,3.199722,-8.783506,16.83776,0.2203586,665,7169,56628,1237672842284105777,8071759337163608064
187,0.0277077031393344,125.7845,42.25584,16.86009,0.05618256,372,761,52266,1237673309358719012,856912121705818112
187,0.0277077031393344,125.7845,42.25584,16.86009,0.05601526,396,761,54524,1237673309358719012,856918756658538496
188,0.055913686730776,119.582,42.32643,16.61562,0.2110851,222,437,51869,1237673310430494741,492079313542211584
188,0.055913686730776,119.582,42.32643,16.61562,0.2110707,234,437,51876,1237673310430494741,492082612194535424
188,0.27396846340221,119.582,42.32643,16.61562,0.2112494,998,3674,55182,1237673310430494741,4136830672831795200
188,0.0180798293703067,119.582,42.32643,16.61562,0.2112217,871,8291,57391,1237673310430494741,9335075670290878464
189,0.0515967226391247,220.1587,53.50442,15.70771,0.03688876,292,1163,52669,1237661388680200322,1309501900785215488
190,0.0812819018522479,247.8518,29.88377,16.92048,0.2541572,260,1685,53463,1237662301374840978,1897212869385152512
191,0.0367327453709687,134.1375,59.96303,16.88484,0.2807869,481,1785,54439,1237663547442987076,2009863624461412352
191,0.0135562787110516,134.1375,59.96303,16.88484,0.2834395,585,8197,57064,1237663547442987076,9229162458480136192
192,0.115390997691451,123.7338,53.42598,16.74668,0.119668,444,1781,53297,1237663547976122397,2005349835191904256
